actual_comm	confered_to	avg_prob
27	41	 0.0212
27	42	 0.0626
27	43	 0.0459
27	44	 0.0431
27	45	 0.0166
28	0	 0.0137
28	1	 0.0296
28	2	 0.0235
28	3	 0.0050
28	4	 0.0052
28	5	 0.0033
28	6	 0.0100
28	7	 0.0085
28	8	 0.0089
28	9	 0.0039
28	10	 0.0061
28	11	 0.0042
28	12	 0.0054
28	13	 0.0073
28	14	 0.0144
28	15	 0.0056
28	16	 0.0032
28	17	 0.0033
28	18	 0.0150
28	19	 0.0036
28	20	 0.0120
28	21	 0.0092
28	22	 0.0184
28	23	 0.0075
28	24	 0.0057
28	25	 0.0032
28	26	 0.0098
28	27	 0.0069
28	28	 0.5184
28	29	 0.0131
28	30	 0.0029
28	31	 0.0061
28	32	 0.0091
28	33	 0.0055
28	34	 0.0066
28	35	 0.0152
28	36	 0.0028
28	37	 0.0098
28	38	 0.0144
28	39	 0.0093
28	40	 0.0666
28	41	 0.0049
28	42	 0.0065
28	43	 0.0105
28	44	 0.0063
28	45	 0.0393
29	0	 0.0121
29	1	 0.0272
29	2	 0.0204
29	3	 0.0159
29	4	 0.0173
29	5	 0.0061
29	6	 0.0304
29	7	 0.0097
29	8	 0.0108
29	9	 0.0114
29	10	 0.0356
29	11	 0.0153
29	12	 0.0117
29	13	 0.0128
29	14	 0.0351
29	15	 0.0137
29	16	 0.0096
29	17	 0.0102
29	18	 0.0151
29	19	 0.0102
29	20	 0.0111
29	21	 0.0400
29	22	 0.0219
29	23	 0.0132
29	24	 0.0198
29	25	 0.0090
29	26	 0.0138
29	27	 0.0275
29	28	 0.0140
29	29	 0.2297
29	30	 0.0051
29	31	 0.0117
29	32	 0.0258
29	33	 0.0102
29	34	 0.0130
29	35	 0.0106
29	36	 0.0093
29	37	 0.0090
29	38	 0.0149
29	39	 0.0209
29	40	 0.0156
29	41	 0.0068
29	42	 0.0287
29	43	 0.0244
29	44	 0.0231
29	45	 0.0401
30	0	 0.0069
30	1	 0.0056
30	2	 0.0053
30	3	 0.0115
30	4	 0.0075
30	5	 0.0116
30	6	 0.0083
30	7	 0.0084
30	8	 0.0264
30	9	 0.0579
30	10	 0.0093
30	11	 0.0194
30	12	 0.0100
