actual_comm	confered_to	avg_prob
22	11	 0.0083
22	12	 0.0065
22	13	 0.0104
22	14	 0.0311
22	15	 0.0069
22	16	 0.0067
22	17	 0.0068
22	18	 0.0367
22	19	 0.0057
22	20	 0.0057
22	21	 0.0140
22	22	 0.2060
22	23	 0.0088
22	24	 0.0167
22	25	 0.0044
22	26	 0.0259
22	27	 0.0157
22	28	 0.0227
22	29	 0.0299
22	30	 0.0049
22	31	 0.0051
22	32	 0.0169
22	33	 0.0066
22	34	 0.0082
22	35	 0.0051
22	36	 0.0053
22	37	 0.0458
22	38	 0.0143
22	39	 0.0272
22	40	 0.0071
22	41	 0.0041
22	42	 0.0160
22	43	 0.0173
22	44	 0.0184
22	45	 0.0347
23	0	 0.0112
23	1	 0.0102
23	2	 0.0052
23	3	 0.0134
23	4	 0.0127
23	5	 0.0048
23	6	 0.0212
23	7	 0.0066
23	8	 0.0108
23	9	 0.0082
23	10	 0.0207
23	11	 0.0118
23	12	 0.0131
23	13	 0.0101
23	14	 0.0222
23	15	 0.0119
23	16	 0.0114
23	17	 0.0109
23	18	 0.0087
23	19	 0.0079
23	20	 0.0203
23	21	 0.0115
23	22	 0.0080
23	23	 0.4819
23	24	 0.0163
23	25	 0.0060
23	26	 0.0078
23	27	 0.0198
23	28	 0.0063
23	29	 0.0123
23	30	 0.0055
23	31	 0.0075
23	32	 0.0134
23	33	 0.0102
23	34	 0.0147
23	35	 0.0101
23	36	 0.0066
23	37	 0.0066
23	38	 0.0073
23	39	 0.0053
23	40	 0.0123
23	41	 0.0094
23	42	 0.0166
23	43	 0.0255
23	44	 0.0199
23	45	 0.0058
24	0	 0.0172
24	1	 0.0232
24	2	 0.0077
24	3	 0.0218
24	4	 0.0226
24	5	 0.0060
24	6	 0.0176
24	7	 0.0132
24	8	 0.0086
24	9	 0.0194
24	10	 0.0486
24	11	 0.0316
24	12	 0.0110
24	13	 0.0324
24	14	 0.0245
24	15	 0.0220
24	16	 0.0379
24	17	 0.0141
24	18	 0.0256
